Date,Price,Volume,Change,
2020-08-25,11467,309986443,1.19%,0.113397347
2020-08-28,11480,187746013,-0.48%,0.07393369
2020-08-30,11658,307926586,-0.50%,0.926140894
2020-09-05,10260,300644747,0.90%,0.521405212
2020-09-08,10229,346738492,0.98%,0.888981861
2020-09-10,10399,266084892,0.51%,0.174738577
2020-09-15,10957,372894155,1.56%,0.037117808
2020-09-16,10945,293584350,-0.11%,0.892566503
2020-09-18,11084,193207450,1.31%,0.469404201
2020-09-22,10238,277589382,-2.90%,0.294606361
2020-09-24,10694,360929423,-0.46%,0.855649766
2020-09-27,10699,350615326,-0.77%,0.796120094
2020-10-03,10676,111420779,1.16%,0.351729299
2020-10-07,10929,423807796,2.35%,0.980525206
2020-10-08,11059,359802403,1.17%,0.790917749
2020-10-09,11302,296925751,2.15%,0.327178171
2020-10-11,11540,478557075,1.42%,0.951186398
2020-10-13,11429,259711904,0.02%,0.549473148
2020-10-16,11368,112306061,0.36%,0.767747278
2020-10-17,11513,131886571,1.27%,0.467746879
2020-10-19,11922,576128150,1.38%,0.50513364
2020-10-30,13803,600104834,1.72%,0.16949844
2020-11-02,14024,300271387,3.23%,0.005863016
2020-11-07,15488,285202500,4.20%,0.307813479
2020-11-10,15707,717920492,2.50%,0.64890994
2020-11-13,16076,452657738,-1.60%,0.138597556
2020-11-15,16721,685608661,4.53%,0.881874337
2020-11-17,17786,1441862086,0.59%,0.639124547
2020-11-19,18673,939934212,4.54%,0.35485904
2020-11-22,18386,902518529,-0.24%,0.999798524
2020-11-26,17155,1034426524,-0.12%,0.362930828
2020-11-27,17740,605284902,3.30%,0.187080618
2020-11-30,18792,1743191339,-4.76%,0.746623451
2020-12-01,19226,903817774,2.26%,0.751659583
2020-12-06,19181,477334575,-1.03%,0.384159492
2020-12-07,18324,866543429,-4.68%,0.797214781
2020-12-10,18035,809318888,-1.20%,0.922250123
2020-12-14,19442,819839290,0.86%,0.673833743
2020-12-15,21352,1949841495,8.95%,0.23646527
2020-12-20,22727,1750627321,-3.26%,0.898819572
2020-12-24,24708,1199894883,3.98%,0.118725745
2020-12-29,28890,1993721842,5.29%,0.587225851
2020-12-30,28972,1924969475,0.29%,0.754917724
2021-01-01,32204,3750440818,8.74%,0.41721354
2021-01-04,34038,3037657026,5.90%,0.304072217
2021-01-11,34058,3999535589,-4.22%,0.7410615
2021-01-12,37381,3198683392,8.89%,0.799559441
2021-01-15,36025,1995053500,-2.12%,0.343697374
2021-01-24,32275,1960131215,-0.03%,0.061532343
2021-01-25,32517,1886292212,0.74%,0.032782958
2021-01-26,30423,3149650799,-6.88%,0.842561765
2021-01-31,33536,1623291067,1.17%,0.416833462
2021-02-01,35524,1789698965,5.60%,0.1078134
2021-02-04,36981,96928930,-0.01%,0.866559833
