Date,Open,High,Low,Close,Adj Close,Volume,
2015-05-21,28,28.74,24.110001,25.68,25.68,12303900,0.752753215
2015-05-26,29.799999,30.34,29.08,29.65,29.65,820200,0.360328623
2015-06-02,27.469999,27.469999,26.65,26.950001,26.950001,379800,0.755579365
2015-06-05,26.66,27.389999,26.1,27.389999,27.389999,129400,0.0117606
2015-06-08,26.9,27.48,26.82,26.98,26.98,280900,0.917645155
2015-06-10,28.450001,28.879999,27.950001,28.1,28.1,273400,0.001602656
2015-06-15,33.970001,38.119999,32.919998,35.5,35.5,1694300,0.034737137
2015-06-23,37.75,38.099998,35.169998,35.43,35.43,293900,0.965609669
2015-06-24,35.119999,37.429001,34.139999,35.959999,35.959999,564400,0.718193078
2015-06-25,36.34,36.5,34.799999,34.84,34.84,208200,0.646790362
2015-06-29,32.52,33.509998,31.200001,31.32,31.32,315500,0.870483123
2015-07-02,31.51,31.73,30.620001,31.309999,31.309999,303200,0.772372315
2015-07-08,30.02,30.360001,29.030001,29.190001,29.190001,186900,0.491183132
2015-07-13,29.85,30.99,29.76,30.42,30.42,220100,0.517366147
2015-07-23,32.59,34.43,32.580002,33.110001,33.110001,265500,0.410536702
2015-07-24,33.450001,34.75,33.240002,33.57,33.57,357700,0.073223654
2015-07-31,38.130001,38.25,36.349998,37.389999,37.389999,525800,0.306606482
2015-08-04,40.110001,41.110001,38.130001,38.41,38.41,572500,0.008203668
2015-08-07,36.27,36.27,34.25,35.16,35.16,321500,0.942862911
2015-08-10,35.299999,36.139999,32.869999,33.470001,33.470001,479900,0.272877589
2015-08-12,34.849998,35.209999,33.75,34.73,34.73,236900,0.599299407
2015-08-13,34.790001,36.490002,34.509998,35.310001,35.310001,225900,0.901547464
2015-08-17,34.77,35,33.299999,34.41,34.41,162300,0.829965156
2015-08-19,32.369999,32.470001,30.6,31.1,31.1,444700,0.704536535
2015-08-20,30.76,31.1,29.15,29.219999,29.219999,269600,0.725875204
2015-08-25,28.290001,29.780001,26.85,26.93,26.93,304300,0.279467768
2015-08-26,28.5,28.57,26.299999,28.219999,28.219999,390100,0.61254526
2015-08-27,28.940001,29.6,27.799999,28.51,28.51,268200,0.098177064
2015-09-01,27.290001,27.290001,26.389999,26.6,26.6,130100,0.894259517
2015-09-03,26.559999,28,26.51,27.15,27.15,132500,0.943852445
2015-09-04,26.98,27.23,26.370001,26.809999,26.809999,129100,0.505376262
2015-09-15,27.139999,28.459999,27.1,28.110001,28.110001,251100,0.358210483
2015-09-21,35.700001,37,34.75,34.830002,34.830002,393500,0.754865305
2015-09-22,34.5,34.5,32.810001,33.66,33.66,332700,0.228104232
2015-09-23,33.529999,34.669998,32.830002,33.5,33.5,340000,0.368832971
2015-09-25,33.849998,35.639999,33.119999,33.91,33.91,355200,0.99742508
2015-09-28,33.639999,33.966999,32.5,33.049999,33.049999,204900,0.0986702
2015-10-12,37.040001,37.341999,30.5,34.310001,34.310001,819400,0.624466006
2015-10-13,34.970001,35.599998,33.060001,33.119999,33.119999,191200,0.473787227
2015-10-20,33.439999,33.529999,31.190001,31.5,31.5,284700,0.655956499
2015-10-21,31.540001,32.540001,31.32,31.950001,31.950001,153400,0.179135462
2015-10-22,32.27,32.450001,31.709999,32.009998,32.009998,229300,0.626000254
2015-10-27,30.68,31.040001,29.719999,31.040001,31.040001,296200,0.049427226
2015-10-28,30.620001,31.24,30.26,31.120001,31.120001,109100,0.563334849
2015-11-11,28.83,29,27.700001,28.18,28.18,310800,0.963689613
2015-11-17,26.5,27,25.530001,26.389999,26.389999,2604100,0.706087918
2015-11-18,26.870001,28,26.5,28,28,1907400,0.383369145
2015-11-20,29.5,29.6,27.719999,28.23,28.23,884200,0.812141704
2015-11-23,28.15,29,27.861,28.870001,28.870001,386300,0.152945463
2015-11-25,27.25,27.677999,26.26,26.440001,26.440001,934000,0.612643569
2015-11-30,26.9,26.959999,26.219999,26.34,26.34,509800,0.81770448
2015-12-01,26.18,26.700001,26.18,26.280001,26.280001,433000,0.457489049
2015-12-02,26.32,26.57,25.799999,26.41,26.41,385500,0.309781895
2015-12-07,26.629999,27.15,26.540001,26.879999,26.879999,616200,0.149544582
2015-12-08,26.4,26.790001,26.040001,26.48,26.48,473200,0.922166763
2015-12-11,24.629999,25.280001,24.540001,24.76,24.76,191200,0.499922242
2015-12-15,24.49,25.57,24.4,25.360001,25.360001,526600,0.365964901
2015-12-24,24.940001,25.450001,24.93,25.34,25.34,103900,0.819948083
2015-12-28,25.27,25.459999,24.76,24.84,24.84,112500,0.667314467
2015-12-30,25.120001,26.559999,25.120001,25.98,25.98,242900,0.356309574
2016-01-04,25.42,25.834999,24.52,25.719999,25.719999,601800,0.680442052
2016-01-05,25.5,26.5,25.26,25.309999,25.309999,418200,0.913872047
2016-01-12,24.15,24.719999,23.41,23.74,23.74,369800,0.697613974
2016-01-15,20.24,20.24,18.48,19.889999,19.889999,921200,0.085514826
2016-01-20,20,20.950001,18.610001,20.530001,20.530001,502600,0.389893323
2016-01-25,23.129999,23.68,22.66,23.129999,23.129999,338000,0.510928559
2016-01-27,22.92,23.24,22,22,22,289000,0.960349006
2016-02-01,23.26,23.709999,22.860001,23.530001,23.530001,373400,0.138401117
2016-02-02,23.27,23.514999,22.190001,22.620001,22.620001,538700,0.864386877
2016-02-08,21.52,21.75,19.92,20.379999,20.379999,623700,0.944749475
2016-02-09,20.32,21.030001,19.690001,19.85,19.85,392700,0.090155274
2016-02-11,19.5,19.99,18.9,19.370001,19.370001,212600,0.015460935
2016-02-17,24.290001,24.809999,21.639999,22.370001,22.370001,3491400,0.519789585
2016-02-26,21.690001,22.120001,21.32,22,22,1106200,0.100677683
2016-03-07,25,25.91,24.77,25.870001,25.870001,861900,0.793906266
2016-03-09,26.91,26.91,26.02,26.07,26.07,949900,0.827319224
2016-03-15,26.35,26.454,25.656,25.83,25.83,269300,0.746923805
2016-03-16,25.84,26.950001,25.57,26.799999,26.799999,401000,0.493290862
2016-03-28,27.68,27.809999,26.879999,27.59,27.59,544400,0.611151777
2016-04-07,29.469999,29.690001,28.941,29.209999,29.209999,320300,0.260749206
2016-04-15,31.02,31.09,30.549999,30.969999,30.969999,290400,0.672573281
2016-04-22,31.530001,31.99,31.200001,31.809999,31.809999,224200,0.656502473
2016-04-26,31.389999,31.59,30.889999,31.469999,31.469999,216700,0.605660378
2016-04-28,32.060001,32.099998,31.49,31.75,31.75,282500,0.876838117
2016-04-29,31.860001,32.279999,31.65,31.85,31.85,365200,0.105471063
2016-05-06,28.4,28.4,27.43,27.719999,27.719999,728800,0.258554296
2016-05-11,26.629999,26.629999,25.959999,26.27,26.27,410300,0.890678921
2016-05-18,26.65,27.48,26.15,26.34,26.34,625300,0.261696445
2016-05-19,26.07,26.290001,25.700001,25.969999,25.969999,760400,0.918866523
2016-05-25,27.1,28.33,27.040001,28.200001,28.200001,924100,0.868653482
2016-05-31,28.790001,29.41,28.6,29.290001,29.290001,852600,0.354019066
2016-06-03,29.99,30.15,29.299999,29.58,29.58,496500,0.843274124
2016-06-06,29.719999,30.08,29.450001,30,30,987200,0.307991058
2016-06-14,27.85,29.07,27.75,29.049999,29.049999,415000,0.854166121
2016-06-15,29.01,29.48,28.620001,28.66,28.66,375400,0.654065
2016-06-17,28.530001,29.120001,28.209999,28.940001,28.940001,344000,0.027066918
2016-06-22,29.76,30.155001,29.540001,29.809999,29.809999,383000,0.86120821
2016-06-27,28.6,29.030001,26.35,27.16,27.16,887800,0.102586239
2016-06-28,27.790001,28.540001,27.24,28.540001,28.540001,640900,0.208449985
2016-07-05,30.969999,30.969999,30.25,30.610001,30.610001,659200,0.639042076
2016-07-08,30.6,31.110001,30.541,31,31,889800,0.893570002
2016-07-12,32,33.25,31.950001,32.490002,32.490002,1448600,0.511226826
2016-07-14,32.41,32.5,31.889999,32.099998,32.099998,611600,0.205652442
2016-07-19,32.34,33.349998,32.279999,33.259998,33.259998,1570100,0.770948558
2016-07-20,32.810001,33.57,32.73,33.09,33.09,1239200,0.662990239
2016-07-22,32.900002,33.459999,32.470001,32.869999,32.869999,1637000,0.908704296
2016-07-25,32.959999,33.099998,32.5,32.599998,32.599998,540600,0.048586044
2016-07-27,32.98,33.52,32.790001,33.209999,33.209999,856900,0.05790017
2016-07-28,33.509998,34.57,33.43,34.27,34.27,1046900,0.550720633
2016-07-29,34.310001,34.759998,33.5,34.27,34.27,670900,0.593475896
2016-08-08,37.529999,38.740002,37.325001,38.310001,38.310001,1203300,0.500019112
2016-08-15,39.860001,39.900002,38.880001,39.080002,39.080002,1199200,0.983253896
2016-08-16,38.02,39.48,37,38.369999,38.369999,1924300,0.850463317
2016-08-17,38.900002,39.57,38.599998,38.740002,38.740002,5811300,0.538499257
