Date,Open,High,Low,Close,Adj Close,Volume
2016-02-11,67.910004,68.519997,67.349998,68.089996,62.669830,2591000
2016-02-12,68.709999,69.580002,68.370003,69.570000,64.032013,1333900
2016-02-16,70.260002,70.959999,69.940002,70.959999,65.311386,1481000
2016-02-17,71.440002,72.459999,71.440002,72.269997,66.517097,880600
2016-02-18,72.360001,72.360001,71.809998,72.120003,66.379044,1129400
2016-02-19,71.699997,71.930000,71.260002,71.900002,66.176537,819400
2016-02-22,72.599998,73.180000,72.599998,73.160004,67.336258,693700
2016-02-23,72.879997,73.070000,72.239998,72.290001,66.535492,590500
2016-02-24,71.660004,72.830002,71.190002,72.720001,66.931282,1093400
2016-02-25,72.849998,73.540001,72.529999,73.529999,67.676796,943200
2016-02-26,73.910004,74.089996,73.510002,73.660004,67.796448,976400
2016-02-29,73.599998,74.070000,73.099998,73.099998,67.281052,1034700
2016-03-01,73.709999,74.790001,73.419998,74.790001,68.836510,2011700
2016-03-02,74.580002,75.349998,74.400002,75.330002,69.333527,2157300
2016-03-03,75.220001,76.059998,75.139999,76.019997,69.968590,1749800
2016-03-04,76.089996,76.839996,75.800003,76.410004,70.327553,1689000
2016-03-07,76.040001,76.980003,76.010002,76.779999,70.668091,1198900
2016-03-08,76.339996,76.339996,75.449997,75.519997,69.508385,1358800
2016-03-09,75.800003,76.120003,75.500000,75.919998,69.876541,871500
2016-03-10,76.070000,76.519997,75.160004,76.029999,69.977776,1391200
2016-03-11,76.680000,77.510002,76.639999,77.459999,71.293953,1308300
2016-03-14,77.199997,77.519997,77.029999,77.349998,71.192719,803700
2016-03-15,76.830002,76.910004,76.550003,76.910004,70.787758,534900
2016-03-16,76.709999,77.779999,76.709999,77.639999,71.459641,844500
2016-03-17,77.669998,78.589996,77.449997,78.360001,72.122330,989600
2016-03-18,78.160004,78.529999,78.099998,78.320000,72.457230,1183000
2016-03-21,78.230003,78.480003,77.989998,78.339996,72.475723,811900
2016-03-22,77.959999,78.500000,77.790001,78.279999,72.420227,1498000
2016-03-23,78.120003,78.120003,77.419998,77.480003,71.680107,669200
2016-03-24,76.989998,77.389999,76.690002,77.389999,71.596840,982300
2016-03-28,77.570000,77.709999,77.169998,77.500000,71.698601,634300
2016-03-29,77.300003,78.300003,77.080002,78.290001,72.429459,749100
2016-03-30,78.690002,78.900002,78.300003,78.529999,72.651489,797300
2016-03-31,78.470001,78.720001,78.400002,78.529999,72.651489,1901200
2016-04-01,78.080002,78.910004,77.699997,78.839996,72.938286,3030700
2016-04-04,78.830002,78.910004,78.239998,78.330002,72.466476,641400
2016-04-05,77.830002,77.900002,77.370003,77.449997,71.652351,929700
